,Winner,NTurns
0,C,174
1,C,222
2,C,180
3,C,120
4,B,135
5,C,48
6,C,90
7,B,57
8,B,105
9,B,93
10,B,243
11,B,87
12,B,159
13,B,81
14,B,159
15,C,102
16,C,180
17,C,78
18,C,270
19,B,177
20,C,90
21,C,108
22,C,114
23,C,84
24,B,165
25,B,99
26,B,99
27,B,105
28,B,99
29,B,99
30,B,141
31,C,84
32,C,126
33,B,189
34,C,168
35,C,198
36,B,75
37,B,135
38,B,105
39,C,102
40,B,141
41,B,189
42,C,96
43,B,147
44,C,96
45,B,159
46,B,249
47,B,123
48,C,108
49,B,87
50,C,168
51,B,135
52,B,111
53,B,135
54,C,120
55,C,180
56,B,105
57,B,135
58,C,66
59,B,153
60,C,126
61,C,114
62,B,159
63,B,63
64,B,129
65,B,129
66,B,219
67,B,141
68,B,141
69,B,201
70,B,111
71,C,102
72,B,165
73,B,129
74,C,114
75,C,90
76,B,141
77,B,111
78,B,105
79,C,180
80,C,144
81,B,81
82,B,75
83,B,195
84,C,114
85,C,90
86,C,132
87,B,117
88,B,159
89,B,81
90,B,87
91,C,162
92,C,156
93,B,231
94,B,189
95,B,171
96,B,177
97,C,132
98,B,327
99,B,81
100,B,141
101,B,153
102,C,126
103,B,105
104,B,99
105,C,216
106,C,144
107,C,102
108,B,111
109,C,114
110,C,264
111,B,135
112,C,102
113,C,168
114,C,126
115,C,126
116,B,225
117,B,129
118,B,195
119,C,144
120,B,141
121,B,165
122,B,225
123,C,78
124,C,132
125,B,153
126,C,228
127,B,81
128,C,120
129,B,81
130,C,186
131,B,195
132,C,144
133,B,75
134,C,108
135,B,165
136,B,159
137,B,195
138,B,129
139,B,87
140,C,246
141,B,207
142,C,102
143,C,210
144,C,90
145,B,141
146,B,243
147,B,117
148,B,117
149,C,78
150,C,138
151,C,180
152,B,357
153,B,141
154,B,111
155,C,132
156,C,90
157,B,123
158,B,195
159,B,117
160,B,255
161,C,138
162,C,180
163,C,132
164,C,72
165,C,78
166,C,90
167,C,162
168,C,120
169,B,129
170,B,165
171,C,108
172,B,159
173,C,102
174,B,129
175,C,150
176,B,201
177,B,195
178,C,204
179,C,198
180,B,87
181,B,105
182,B,111
183,B,93
184,C,108
185,B,231
186,C,240
187,C,90
188,C,126
189,C,162
190,B,237
191,B,135
192,B,111
193,C,126
194,B,159
195,C,96
196,C,174
197,C,156
198,C,114
199,C,96
