,Winner,NTurns
0,B,111
1,B,93
2,C,168
3,B,105
4,B,81
5,C,438
6,B,117
7,B,141
8,B,111
9,C,66
10,C,162
11,B,81
12,C,72
13,B,117
14,B,129
15,C,186
16,B,183
17,B,123
18,C,102
19,C,96
20,B,87
21,C,114
22,C,108
23,C,222
24,C,186
25,B,147
26,C,96
27,B,249
28,C,90
29,C,336
30,B,189
31,B,81
32,B,99
33,B,171
34,C,144
35,B,105
36,B,75
37,C,90
38,C,102
39,B,93
40,C,234
41,B,165
42,B,117
43,B,93
44,B,153
45,B,165
46,B,87
47,B,63
48,B,75
49,B,117
50,B,75
51,B,129
52,C,138
53,B,99
54,C,324
55,B,147
56,B,81
57,B,129
58,B,93
59,B,183
60,C,60
61,B,279
62,C,192
63,C,210
64,C,96
65,B,93
66,C,156
67,C,102
68,C,132
69,C,54
70,C,168
71,C,102
72,B,87
73,B,171
74,C,72
75,C,90
76,C,234
77,C,138
78,B,147
79,C,90
80,C,120
81,B,57
82,B,177
83,B,99
84,C,66
85,C,240
86,C,90
87,B,99
88,B,99
89,C,84
90,C,162
91,B,87
92,B,99
93,C,144
94,C,186
95,B,99
96,B,87
97,D,601
98,B,63
99,B,147
100,C,84
101,C,72
102,C,192
103,B,135
104,B,87
105,B,153
106,C,570
107,B,81
108,B,81
109,C,174
110,B,111
111,B,165
112,B,105
113,C,546
114,C,54
115,B,309
116,B,87
117,C,96
118,C,132
119,C,108
120,B,87
121,B,51
122,C,78
123,B,81
124,B,117
125,D,601
126,C,72
127,C,78
128,C,126
129,B,183
130,B,81
131,B,117
132,C,60
133,B,279
134,B,105
135,B,135
136,C,150
137,C,78
138,C,498
139,B,93
140,C,186
141,C,96
142,B,147
143,C,102
144,C,300
145,C,78
146,B,69
147,C,126
148,B,135
149,C,90
150,B,81
151,C,552
152,B,81
153,C,78
154,C,72
155,C,198
156,B,249
157,C,162
158,C,96
159,C,96
160,B,81
161,C,168
162,B,81
163,C,348
164,C,66
165,B,87
166,B,75
167,B,99
168,C,48
169,B,105
170,C,222
171,C,138
172,C,162
173,C,156
174,B,93
175,C,114
176,C,216
177,C,102
178,B,129
179,C,84
180,C,138
181,B,63
182,B,81
183,B,51
184,B,135
185,C,156
186,C,84
187,B,87
188,C,480
189,B,99
190,C,336
191,B,99
192,C,186
193,C,78
194,B,489
195,C,192
196,C,78
197,C,90
198,D,601
199,B,123
