,Winner,NTurns
0,C,114
1,C,216
2,B,81
3,B,105
4,C,186
5,C,192
6,C,90
7,B,87
8,C,132
9,C,132
10,B,129
11,B,81
12,B,105
13,B,147
14,C,102
15,B,105
16,B,87
17,C,90
18,C,306
19,B,141
20,B,159
21,B,147
22,B,75
23,C,216
24,C,270
25,B,123
26,C,222
27,C,240
28,D,601
29,B,75
30,C,132
31,C,60
32,B,75
33,C,96
34,C,138
35,B,231
36,C,150
37,C,102
38,C,78
39,B,201
40,B,129
41,C,246
42,B,57
43,B,123
44,B,237
45,C,132
46,B,93
47,B,69
48,C,120
49,B,75
50,C,126
51,B,159
52,B,81
53,C,108
54,D,601
55,B,423
56,C,192
57,B,93
58,B,87
59,C,168
60,C,252
61,D,601
62,C,138
63,C,174
64,B,87
65,C,78
66,C,114
67,B,87
68,C,174
69,B,147
70,B,45
71,B,243
72,C,312
73,C,102
74,C,96
75,C,72
76,B,171
77,B,123
78,C,126
79,B,105
80,B,99
81,C,102
82,C,402
83,B,45
84,B,93
85,B,81
86,D,601
87,C,48
88,C,126
89,B,93
90,C,210
91,C,174
92,C,102
93,C,258
94,B,117
95,C,84
96,C,90
97,C,390
98,C,300
99,C,240
100,B,51
101,B,57
102,C,150
103,C,144
104,C,114
105,D,601
106,B,189
107,B,81
108,C,150
109,C,132
110,B,123
111,C,324
112,C,78
113,C,186
114,C,138
115,B,57
116,B,75
117,C,330
118,C,420
119,C,120
120,C,420
121,B,69
122,B,141
123,C,192
124,B,135
125,B,105
126,B,87
127,B,111
128,C,288
129,C,126
130,B,81
131,B,189
132,C,546
133,D,601
134,C,78
135,B,93
136,D,601
137,C,72
138,C,372
139,C,228
140,C,138
141,B,195
142,C,384
143,C,186
144,B,81
145,B,105
146,C,186
147,C,138
148,C,132
149,C,102
150,B,141
151,B,111
152,C,150
153,C,126
154,C,198
155,B,99
156,C,102
157,C,180
158,C,102
159,C,264
160,C,72
161,D,601
162,D,601
163,C,54
164,C,366
165,B,309
166,B,153
167,B,117
168,C,324
169,C,150
170,B,129
171,C,324
172,C,546
173,B,111
174,D,601
175,C,420
176,B,99
177,B,93
178,B,99
179,C,228
180,C,132
181,D,601
182,B,141
183,D,601
184,C,132
185,C,198
186,C,552
187,B,99
188,C,66
189,B,81
190,D,601
191,B,117
192,C,150
193,C,84
194,C,72
195,C,402
196,B,99
197,C,150
198,D,601
199,C,150
