,Winner,NTurns
0,B,363
1,B,153
2,C,108
3,C,48
4,C,78
5,B,147
6,B,201
7,B,51
8,B,75
9,D,601
10,C,150
11,C,240
12,B,69
13,C,258
14,B,51
15,C,222
16,C,66
17,C,84
18,B,129
19,C,78
20,C,276
21,C,252
22,B,363
23,C,120
24,B,135
25,C,72
26,C,216
27,C,150
28,B,111
29,B,321
30,B,75
31,C,252
32,C,48
33,B,57
34,C,54
35,B,99
36,B,93
37,B,93
38,B,135
39,C,234
40,B,81
41,C,114
42,B,51
43,C,54
44,C,156
45,B,81
46,C,204
47,C,462
48,D,601
49,B,87
50,C,258
51,C,354
52,B,93
53,B,147
54,B,57
55,C,102
56,C,348
57,C,84
58,B,135
59,C,432
60,C,336
61,C,114
62,C,60
63,B,81
64,B,135
65,C,108
66,B,141
67,B,111
68,B,87
69,B,69
70,C,120
71,B,75
72,C,66
73,B,69
74,C,180
75,C,96
76,C,264
77,C,174
78,C,426
79,C,90
80,B,165
81,B,141
82,C,156
83,C,54
84,C,264
85,C,90
86,C,222
87,B,57
88,C,132
89,B,123
90,C,96
91,C,330
92,D,601
93,B,87
94,C,78
95,C,60
96,C,102
97,B,117
98,C,156
99,D,601
100,B,117
101,B,99
102,C,66
103,B,117
104,C,96
105,B,111
106,C,270
107,B,207
108,B,75
109,B,111
110,B,75
111,B,123
112,D,601
113,C,90
114,B,57
115,B,435
116,D,601
117,D,601
118,C,162
119,C,54
120,B,105
121,C,90
122,B,99
123,C,384
124,C,108
125,D,601
126,C,330
127,D,601
128,C,60
129,B,537
130,C,138
131,B,153
132,C,156
133,C,138
134,B,75
135,B,195
136,B,321
137,B,207
138,C,54
139,B,75
140,B,99
141,C,54
142,B,117
143,B,159
144,B,165
145,B,129
146,C,390
147,C,126
148,B,123
149,B,177
150,D,601
151,D,601
152,C,54
153,C,150
154,B,51
155,B,105
156,C,66
157,C,72
158,B,81
159,B,111
160,D,601
161,C,126
162,D,601
163,C,192
164,B,69
165,D,601
166,C,102
167,C,144
168,C,150
169,B,81
170,C,450
171,B,57
172,C,162
173,B,99
174,C,84
175,C,294
176,B,99
177,B,75
178,C,126
179,C,156
180,C,408
181,B,105
182,B,75
183,C,222
184,B,99
185,C,312
186,C,66
187,C,570
188,D,601
189,B,87
190,B,87
191,D,601
192,B,57
193,C,66
194,C,108
195,C,180
196,C,480
197,C,252
198,B,57
199,D,601
