,Winner,NTurns
0,C,60
1,C,60
2,C,78
3,B,123
4,C,270
5,C,126
6,B,231
7,C,108
8,C,48
9,C,66
10,C,306
11,B,345
12,B,135
13,D,601
14,B,159
15,C,336
16,C,42
17,C,102
18,C,126
19,C,102
20,C,84
21,B,225
22,D,601
23,B,141
24,B,267
25,C,144
26,B,105
27,B,69
28,C,528
29,C,72
30,C,84
31,D,601
32,D,601
33,B,351
34,C,138
35,C,84
36,C,132
37,C,96
38,B,159
39,B,381
40,C,102
41,C,78
42,C,120
43,C,120
44,B,105
45,C,72
46,C,108
47,B,111
48,C,66
49,B,99
50,C,108
51,B,171
52,C,66
53,C,114
54,C,96
55,C,132
56,C,72
57,B,111
58,C,96
59,C,144
60,C,78
61,C,54
62,C,108
63,B,249
64,B,495
65,C,132
66,B,141
67,B,117
68,D,601
69,B,297
70,C,474
71,B,327
72,B,105
73,D,601
74,D,601
75,B,93
76,C,102
77,C,90
78,C,210
79,B,93
80,B,99
81,C,78
82,D,601
83,B,183
84,C,234
85,C,90
86,C,126
87,C,72
88,D,601
89,C,210
90,B,435
91,D,601
92,C,162
93,C,132
94,C,84
95,B,75
96,B,249
97,D,601
98,C,120
99,B,225
100,B,177
101,C,90
102,C,126
103,C,54
104,C,54
105,B,141
106,B,219
107,C,120
108,C,108
109,B,399
110,C,186
111,C,168
112,B,135
113,C,120
114,B,561
115,C,120
116,B,429
117,C,564
118,C,114
119,B,159
120,D,601
121,C,120
122,C,534
123,C,102
124,C,144
125,C,120
126,C,426
127,B,105
128,C,480
129,C,84
130,B,291
131,D,601
132,C,60
133,B,393
134,C,516
135,C,78
136,C,84
137,B,123
138,C,84
139,C,78
140,D,601
141,B,237
142,B,111
143,C,84
144,D,601
145,C,102
146,B,273
147,C,108
148,D,601
149,B,201
150,B,117
151,D,601
152,B,273
153,B,315
154,B,255
155,D,601
156,C,96
157,D,601
158,B,105
159,C,108
160,C,534
161,B,87
162,D,601
163,C,240
164,C,96
165,B,159
166,C,396
167,C,132
168,D,601
169,D,601
170,C,96
171,C,150
172,B,321
173,C,150
174,C,90
175,C,96
176,B,177
177,C,408
178,B,213
179,B,597
180,B,81
181,C,102
182,B,141
183,B,171
184,B,309
185,D,601
186,B,279
187,D,601
188,B,285
189,D,601
190,B,501
191,C,108
192,C,210
193,B,435
194,C,102
195,B,189
196,D,601
197,C,312
198,C,102
199,B,135
