,Winner,NTurns
0,C,54
1,C,96
2,C,78
3,C,270
4,C,174
5,D,601
6,C,90
7,C,276
8,D,601
9,C,60
10,D,601
11,C,72
12,C,474
13,B,105
14,C,138
15,C,108
16,C,42
17,C,66
18,B,231
19,C,102
20,C,390
21,C,66
22,C,222
23,B,123
24,C,132
25,B,69
26,B,279
27,C,198
28,C,72
29,D,601
30,C,174
31,B,87
32,C,114
33,C,162
34,C,54
35,B,135
36,C,114
37,C,54
38,C,240
39,C,264
40,C,252
41,C,216
42,D,601
43,B,87
44,C,72
45,C,264
46,B,159
47,C,84
48,C,72
49,C,78
50,D,601
51,B,75
52,D,601
53,B,129
54,C,78
55,C,228
56,D,601
57,C,114
58,B,117
59,C,96
60,B,87
61,B,117
62,C,66
63,B,81
64,C,48
65,C,72
66,C,360
67,B,69
68,D,601
69,C,186
70,B,303
71,B,201
72,D,601
73,B,87
74,B,147
75,C,66
76,C,132
77,C,96
78,B,75
79,D,601
80,C,132
81,C,168
82,B,69
83,C,42
84,B,105
85,D,601
86,C,60
87,C,66
88,C,150
89,C,102
90,D,601
91,B,111
92,C,42
93,C,222
94,C,306
95,C,78
96,B,363
97,B,375
98,C,288
99,C,414
100,B,75
101,B,327
102,D,601
103,C,72
104,B,129
105,C,186
106,C,516
107,B,39
108,C,120
109,C,132
110,C,108
111,C,72
112,C,390
113,C,96
114,B,135
115,B,105
116,C,108
117,C,66
118,D,601
119,C,48
120,C,474
121,C,144
122,C,72
123,D,601
124,D,601
125,C,78
126,C,180
127,C,366
128,C,258
129,B,177
130,C,192
131,C,138
132,B,213
133,B,267
134,B,87
135,C,270
136,C,54
137,C,132
138,D,601
139,C,204
140,B,69
141,D,601
142,B,63
143,D,601
144,C,318
145,D,601
146,B,63
147,C,78
148,B,123
149,C,78
150,B,93
151,C,378
152,D,601
153,C,84
154,B,99
155,C,474
156,C,78
157,B,99
158,B,129
159,C,246
160,C,462
161,D,601
162,C,102
163,C,456
164,C,252
165,C,288
166,C,108
167,B,159
168,C,234
169,B,141
170,C,48
171,C,174
172,C,54
173,C,234
174,C,162
175,D,601
176,C,372
177,C,126
178,C,342
179,C,60
180,B,117
181,B,117
182,C,156
183,C,174
184,B,273
185,B,129
186,B,357
187,C,516
188,B,105
189,C,198
190,D,601
191,C,384
192,C,72
193,B,123
194,C,246
195,D,601
196,C,84
197,C,156
198,C,60
199,B,207
