,Winner,NTurns
0,C,336
1,C,120
2,B,111
3,C,318
4,B,81
5,C,132
6,C,78
7,B,93
8,B,165
9,C,570
10,C,90
11,C,306
12,C,258
13,B,81
14,C,72
15,C,534
16,C,42
17,C,138
18,B,75
19,D,601
20,B,69
21,C,228
22,C,210
23,B,99
24,B,87
25,C,156
26,C,60
27,C,174
28,C,162
29,C,96
30,B,519
31,B,69
32,C,354
33,B,123
34,C,180
35,B,123
36,C,96
37,C,210
38,B,81
39,C,264
40,B,99
41,C,510
42,B,117
43,C,516
44,B,117
45,D,601
46,C,102
47,C,126
48,B,555
49,D,601
50,C,324
51,C,210
52,C,354
53,B,123
54,B,147
55,B,81
56,D,601
57,B,93
58,C,96
59,C,114
60,D,601
61,C,372
62,C,120
63,C,78
64,C,84
65,B,369
66,C,186
67,C,66
68,D,601
69,C,276
70,C,372
71,D,601
72,C,372
73,C,90
74,C,258
75,C,72
76,C,180
77,C,174
78,C,90
79,C,246
80,B,69
81,B,129
82,D,601
83,B,333
84,B,249
85,B,123
86,C,378
87,D,601
88,B,195
89,C,174
90,C,288
91,C,114
92,C,276
93,C,390
94,C,84
95,B,75
96,C,486
97,B,237
98,C,240
99,D,601
100,B,597
101,C,210
102,D,601
103,B,225
104,C,132
105,C,288
106,D,601
107,C,210
108,C,66
109,D,601
110,B,105
111,C,456
112,C,228
113,C,222
114,C,126
115,B,381
116,C,96
117,C,312
118,B,117
119,C,90
120,C,396
121,C,114
122,D,601
123,B,147
124,C,54
125,B,243
126,B,111
127,C,156
128,D,601
129,D,601
130,C,186
131,C,192
132,C,204
133,B,135
134,C,522
135,D,601
136,C,114
137,C,192
138,C,72
139,D,601
140,C,108
141,B,177
142,C,108
143,C,222
144,C,66
145,C,222
146,C,294
147,C,162
148,D,601
149,C,66
150,B,105
151,D,601
152,B,105
153,D,601
154,D,601
155,C,114
156,B,129
157,D,601
158,C,156
159,D,601
160,C,138
161,B,123
162,D,601
163,C,270
164,C,138
165,B,201
166,B,285
167,D,601
168,C,66
169,D,601
170,C,132
171,C,414
172,C,90
173,B,135
174,C,546
175,D,601
176,C,288
177,C,144
178,C,444
179,D,601
180,C,222
181,C,138
182,C,414
183,C,396
184,B,117
185,D,601
186,C,186
187,C,168
188,B,75
189,C,60
190,C,192
191,C,168
192,C,210
193,C,54
194,D,601
195,C,54
196,C,180
197,C,474
198,C,366
199,B,333
