,Winner,NTurns
0,D,601
1,C,83
2,C,95
3,B,122
4,C,83
5,D,601
6,D,601
7,C,239
8,D,601
9,D,601
10,D,601
11,C,209
12,D,601
13,D,601
14,D,601
15,D,601
16,D,601
17,C,71
18,D,601
19,C,71
20,C,155
21,D,601
22,D,601
23,C,221
24,D,601
25,D,601
26,D,601
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,B,44
34,D,601
35,C,191
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,B,188
42,D,601
43,D,601
44,D,601
45,D,601
46,C,203
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,C,155
56,D,601
57,D,601
58,D,601
59,D,601
60,B,242
61,D,601
62,C,125
63,D,601
64,D,601
65,D,601
66,D,601
67,C,149
68,B,110
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
80,D,601
81,C,89
82,D,601
83,D,601
84,D,601
85,C,443
86,D,601
87,D,601
88,D,601
89,D,601
90,D,601
91,C,119
92,C,185
93,D,601
94,D,601
95,D,601
96,D,601
97,D,601
98,C,413
99,D,601
100,D,601
101,D,601
102,D,601
103,D,601
