,Winner,NTurns
0,B,92
1,B,278
2,B,476
3,B,44
4,D,601
5,B,32
6,D,601
7,B,26
8,D,601
9,B,242
10,B,200
11,B,44
12,B,80
13,B,38
14,B,140
15,D,601
16,B,56
17,B,572
18,D,601
19,B,32
20,B,182
21,B,26
22,B,272
23,B,44
24,B,260
25,B,32
26,B,386
27,B,92
28,B,68
29,B,182
30,B,32
31,B,512
32,B,176
33,D,601
34,B,188
35,B,170
36,B,434
37,B,32
38,B,590
39,B,326
40,B,206
41,B,68
42,B,506
43,B,530
44,D,601
45,B,32
46,B,242
47,B,248
48,B,356
49,B,80
50,B,26
51,B,50
52,B,50
53,D,601
54,D,601
55,B,56
56,B,128
57,B,494
58,B,50
59,B,452
60,B,194
61,B,134
62,B,134
63,B,170
64,B,236
65,B,428
66,B,86
67,B,314
68,D,601
69,B,50
70,B,308
71,D,601
72,D,601
73,D,601
74,B,32
75,B,68
76,B,158
77,B,74
78,B,32
79,B,524
80,B,332
81,B,26
82,D,601
83,B,68
84,B,410
85,B,536
86,D,601
87,B,302
88,B,56
89,B,332
90,B,80
91,B,68
92,B,530
93,B,44
94,D,601
95,B,158
96,B,470
97,B,68
98,B,230
99,B,542
100,D,601
101,D,601
102,B,62
103,B,512
