,Winner,NTurns
0,C,53
1,C,77
2,C,59
3,C,233
4,C,107
5,C,77
6,C,65
7,C,143
8,C,125
9,C,47
10,C,59
11,C,65
12,C,293
13,C,47
14,C,287
15,C,77
16,C,71
17,C,65
18,C,53
19,C,83
20,C,53
21,C,101
22,C,83
23,C,113
24,C,191
25,C,53
26,C,89
27,C,47
28,C,65
29,D,601
30,C,185
31,C,125
32,C,95
33,C,83
34,C,59
35,C,113
36,C,425
37,C,59
38,C,77
39,C,47
40,C,65
41,C,89
42,C,239
43,C,59
44,C,119
45,C,113
46,D,601
47,C,59
48,C,59
49,C,77
50,C,35
51,C,77
52,C,53
53,C,137
54,C,65
55,C,413
56,C,95
57,C,95
58,C,113
59,C,59
60,D,601
61,C,137
62,C,65
63,C,365
64,C,59
65,C,575
66,C,95
67,C,119
68,C,287
69,C,89
70,C,59
71,C,353
72,C,113
73,C,47
74,C,83
75,C,71
76,C,59
77,D,601
78,C,245
79,C,203
80,C,95
81,D,601
82,C,83
83,C,107
84,C,47
85,C,71
86,C,53
87,C,107
88,D,601
89,C,65
90,C,233
91,C,59
92,C,161
93,C,83
94,C,41
95,C,59
96,C,65
97,D,601
98,C,323
99,D,601
100,C,125
101,C,311
102,C,497
103,C,305
