,Winner,NTurns
0,B,128
1,C,143
2,D,601
3,B,404
4,B,98
5,D,601
6,D,601
7,D,601
8,D,601
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,C,599
15,C,233
16,D,601
17,D,601
18,B,80
19,D,601
20,D,601
21,D,601
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,C,263
29,B,158
30,C,407
31,D,601
32,D,601
33,D,601
34,D,601
35,C,173
36,D,601
37,D,601
38,D,601
39,B,146
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,C,473
51,D,601
52,D,601
53,C,587
54,D,601
55,D,601
56,B,74
57,D,601
58,C,473
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,B,296
68,B,506
69,D,601
70,D,601
71,D,601
72,C,479
73,D,601
74,D,601
75,D,601
76,C,581
77,C,233
78,D,601
79,D,601
80,D,601
81,D,601
82,D,601
83,D,601
84,D,601
85,C,245
86,D,601
87,D,601
88,C,575
89,D,601
90,D,601
91,D,601
92,C,575
93,D,601
94,D,601
95,D,601
96,D,601
97,D,601
98,D,601
99,D,601
100,D,601
101,D,601
102,D,601
103,D,601
