,Winner,NTurns
0,C,47
1,C,23
2,C,89
3,C,47
4,C,35
5,C,47
6,C,23
7,C,47
8,C,29
9,C,53
10,C,35
11,C,35
12,C,23
13,C,53
14,C,41
15,C,23
16,C,35
17,C,35
18,C,29
19,C,47
20,C,23
21,C,47
22,C,23
23,C,71
24,C,65
25,C,65
26,C,71
27,C,23
28,C,23
29,C,23
30,C,53
31,C,53
32,C,53
33,C,23
34,C,23
35,C,53
36,C,53
37,C,35
38,C,29
39,C,47
40,C,35
41,C,53
42,C,77
43,C,23
44,C,47
45,C,65
46,C,77
47,C,41
48,C,35
49,C,53
50,C,65
51,C,35
52,C,35
53,C,29
54,C,35
55,C,29
56,C,95
57,C,35
58,C,47
59,C,35
60,C,47
61,C,47
62,C,23
63,C,65
64,C,65
65,C,53
66,C,41
67,C,35
68,C,53
69,C,23
70,C,47
71,C,29
72,C,23
73,C,47
74,C,23
75,C,47
76,C,119
77,C,35
78,C,41
79,C,53
80,C,23
81,C,35
82,C,77
83,C,59
84,C,41
85,C,59
86,C,65
87,C,35
88,C,35
89,C,47
90,C,35
91,C,23
92,C,47
93,C,65
94,C,23
95,C,71
96,C,47
97,C,59
98,C,47
99,C,23
100,C,23
101,C,89
102,C,77
103,C,29
