,Winner,NTurns
0,D,601
1,C,47
2,C,41
3,C,65
4,C,239
5,C,173
6,C,59
7,C,119
8,C,71
9,B,62
10,C,83
11,C,101
12,C,59
13,C,95
14,C,191
15,C,137
16,C,329
17,C,131
18,C,71
19,D,601
20,C,89
21,C,59
22,C,89
23,C,317
24,C,95
25,C,59
26,C,71
27,C,491
28,C,83
29,C,53
30,C,113
31,C,359
32,C,557
33,C,239
34,C,77
35,C,125
36,C,239
37,C,143
38,C,209
39,C,197
40,C,563
41,C,131
42,C,83
43,C,107
44,C,107
45,C,83
46,C,77
47,D,601
48,C,95
49,D,601
50,C,65
51,C,377
52,C,65
53,C,263
54,C,335
55,C,125
56,C,275
57,C,149
58,C,173
59,C,71
60,C,107
61,C,263
62,C,311
63,C,59
64,C,419
65,B,62
66,C,125
67,C,71
68,C,239
69,C,215
70,C,167
71,C,179
72,C,77
73,C,515
74,C,77
75,C,77
76,D,601
77,C,89
78,C,47
79,C,197
80,D,601
81,C,65
82,C,53
83,C,101
84,C,233
85,C,95
86,C,449
87,B,98
88,D,601
89,C,71
90,D,601
91,C,137
92,C,161
93,C,125
94,C,221
95,C,227
96,C,551
97,C,245
98,C,389
99,C,317
100,C,329
101,C,305
102,D,601
103,C,359
