,Winner,NTurns
0,B,32
1,B,32
2,B,32
3,B,26
4,B,32
5,B,50
6,B,38
7,B,44
8,B,38
9,B,44
10,B,44
11,B,32
12,B,32
13,B,32
14,B,38
15,B,44
16,B,32
17,B,44
18,B,38
19,B,38
20,B,38
21,B,32
22,B,44
23,B,38
24,B,38
25,B,44
26,B,38
27,B,44
28,B,56
29,B,38
30,B,44
31,B,38
32,B,32
33,B,32
34,B,38
35,B,38
36,B,32
37,B,44
38,B,38
39,B,38
40,B,38
41,B,44
42,B,44
43,B,50
44,B,56
45,B,62
46,B,26
47,B,32
48,B,38
49,B,32
50,B,26
51,B,32
52,B,44
53,B,26
54,B,44
55,B,26
56,B,38
57,B,38
58,B,44
59,B,80
60,B,44
61,B,32
62,B,32
63,B,86
64,B,26
65,B,44
66,B,44
67,B,32
68,B,32
69,B,32
70,B,50
71,B,68
72,B,32
73,B,68
74,B,38
75,B,68
76,B,32
77,B,86
78,B,50
79,B,26
80,B,32
81,B,164
82,B,26
83,B,26
84,B,38
85,B,38
86,B,50
87,B,38
88,B,176
89,B,56
90,B,38
91,B,56
92,B,68
93,B,44
94,B,110
95,B,32
96,B,38
97,B,104
98,B,32
99,B,26
100,B,26
101,B,32
102,B,38
103,B,26
