,Winner,NTurns
0,B,83
1,C,134
2,B,77
3,C,110
4,C,98
5,C,98
6,B,95
7,C,98
8,C,83
9,C,65
10,B,107
11,C,83
12,C,134
13,B,107
14,C,65
15,C,83
16,C,104
17,C,104
18,C,116
19,B,89
20,B,77
21,C,110
22,C,104
23,C,104
24,C,104
25,B,95
26,C,122
27,C,89
28,C,83
29,C,104
30,C,95
31,C,104
32,B,113
33,C,98
34,C,122
35,C,104
36,C,110
37,C,122
38,C,104
39,C,122
40,C,110
41,C,77
42,B,89
43,C,116
44,B,95
45,C,104
46,B,107
47,B,125
48,B,83
49,B,101
50,C,104
51,B,119
52,C,98
53,C,116
54,C,128
55,C,83
56,B,80
57,B,107
58,B,107
59,C,92
60,B,101
61,C,152
62,C,98
63,C,110
64,C,140
65,C,104
66,C,128
67,C,116
68,C,98
69,C,83
70,C,92
71,C,128
72,C,104
73,C,134
74,C,110
75,C,110
76,C,110
77,B,80
78,C,98
79,C,65
