,Winner,NTurns
0,B,83
1,C,77
2,C,95
3,C,101
4,C,113
5,C,113
6,C,101
7,B,89
8,B,119
9,C,53
10,C,119
11,C,119
12,B,107
13,B,107
14,C,71
15,C,125
16,C,53
17,B,77
18,B,89
19,C,113
20,C,119
21,B,77
22,C,113
23,C,107
24,C,107
25,C,101
26,C,101
27,B,89
28,C,59
29,B,83
30,C,59
31,B,83
32,C,107
33,C,77
34,B,107
35,B,101
36,C,113
37,C,101
38,B,113
39,C,131
40,B,113
41,B,95
42,C,101
43,B,65
44,C,83
45,B,107
46,C,101
47,B,137
48,B,125
49,B,113
50,C,101
51,C,95
52,C,101
53,C,101
54,B,107
55,B,113
56,C,101
57,B,83
58,C,59
59,C,119
60,C,107
61,B,101
62,C,131
63,C,125
64,B,101
65,B,101
66,B,83
67,C,77
68,C,107
69,B,77
70,B,89
71,C,113
72,C,95
73,C,101
74,B,95
75,B,95
76,B,131
77,C,137
78,C,101
79,C,89
