,Winner,NTurns
0,C,98
1,C,89
2,C,104
3,C,65
4,C,110
5,B,95
6,C,110
7,C,116
8,B,125
9,C,116
10,B,113
11,C,104
12,C,77
13,C,134
14,B,113
15,B,77
16,C,110
17,C,110
18,C,92
19,C,83
20,B,101
21,C,98
22,C,98
23,C,98
24,C,110
25,C,98
26,C,104
27,C,116
28,C,110
29,C,116
30,C,116
31,C,116
32,C,98
33,C,110
34,C,116
35,C,98
36,B,89
37,B,113
38,C,92
39,C,110
40,C,122
41,B,107
42,C,98
43,C,110
44,B,119
45,C,116
46,B,89
47,C,98
48,B,119
49,C,116
50,C,122
51,B,107
52,B,95
53,B,101
54,C,98
55,B,167
56,C,116
57,C,116
58,C,98
59,B,107
60,B,119
61,C,134
62,B,101
63,C,116
64,B,131
65,B,119
66,C,95
67,C,116
68,C,104
69,C,98
70,C,116
71,C,110
72,B,95
73,C,146
74,C,89
75,D,601
76,B,119
77,C,98
78,B,95
79,B,113
