,Winner,NTurns
0,C,95
1,C,98
2,B,83
3,B,89
4,C,77
5,C,71
6,C,104
7,C,71
8,C,110
9,C,47
10,C,47
11,B,101
12,C,98
13,C,59
14,C,65
15,B,95
16,C,89
17,C,107
18,C,104
19,C,110
20,C,98
21,C,122
22,C,71
23,C,110
24,C,110
25,C,101
26,C,98
27,C,98
28,C,83
29,B,89
30,C,65
31,C,65
32,C,95
33,B,149
34,C,65
35,C,116
36,C,104
37,C,104
38,B,131
39,C,110
40,B,113
41,B,107
42,C,71
43,C,53
44,C,122
45,C,122
46,B,101
47,C,98
48,C,104
49,C,128
50,B,101
51,B,113
52,C,104
53,C,104
54,C,134
55,B,119
56,C,77
57,C,104
58,C,104
59,B,101
60,B,89
61,C,116
62,C,128
63,B,101
64,C,110
65,C,110
66,C,104
67,C,104
68,C,98
69,C,71
70,B,95
71,C,122
72,C,116
73,B,83
74,B,107
75,C,110
76,C,92
77,C,134
78,B,89
79,B,101
