,Winner,NTurns
0,B,107
1,C,86
2,B,74
3,C,104
4,B,107
5,B,89
6,B,101
7,B,107
8,C,92
9,C,53
10,B,107
11,C,29
12,B,101
13,B,113
14,B,101
15,C,83
16,B,107
17,B,113
18,B,119
19,C,98
20,C,65
21,C,77
22,B,113
23,B,113
24,C,80
25,B,95
26,C,110
27,B,95
28,B,113
29,C,89
30,B,113
31,B,119
32,B,107
33,C,110
34,B,92
35,B,119
36,C,110
37,C,104
38,B,107
39,B,119
40,B,101
41,B,125
42,B,131
43,C,74
44,C,92
45,B,113
46,B,107
47,B,107
48,B,95
49,B,119
50,B,101
51,C,98
52,D,601
53,C,77
54,B,101
55,B,101
56,C,83
57,C,116
58,C,110
59,B,89
60,B,107
61,B,113
62,C,92
63,B,125
64,C,92
65,B,107
66,C,98
67,C,98
68,C,116
69,B,119
70,B,95
71,B,101
72,B,107
73,B,125
74,B,113
75,B,107
76,B,107
77,B,89
78,B,119
79,B,107
