,Winner,NTurns
0,C,134
1,B,107
2,B,89
3,B,95
4,C,92
5,C,116
6,B,113
7,B,113
8,B,89
9,B,89
10,C,110
11,B,143
12,C,92
13,B,113
14,B,71
15,B,125
16,C,158
17,B,83
18,B,89
19,B,107
20,B,107
21,B,101
22,B,113
23,C,128
24,C,104
25,B,137
26,B,101
27,C,98
28,C,65
29,B,95
30,C,98
31,D,601
32,B,113
33,B,101
34,B,113
35,C,98
36,C,116
37,B,101
38,C,104
39,B,143
40,C,77
41,B,113
42,C,116
43,C,98
44,B,107
45,C,98
46,B,149
47,B,143
48,C,122
49,D,601
50,B,101
51,C,92
52,B,113
53,C,71
54,B,83
55,B,113
56,C,110
57,D,601
58,C,170
59,C,116
60,C,116
61,C,110
62,D,601
63,B,119
64,B,119
65,B,113
66,B,107
67,B,119
68,C,110
69,C,128
70,B,83
71,B,107
72,B,113
73,C,110
74,B,95
75,D,601
76,C,92
77,B,113
78,D,601
79,D,601
