,Winner,NTurns
0,C,116
1,C,98
2,C,92
3,C,92
4,B,83
5,B,101
6,B,113
7,C,104
8,B,113
9,D,601
10,B,95
11,B,149
12,C,98
13,B,107
14,C,110
15,B,107
16,B,92
17,C,116
18,C,104
19,B,131
20,B,89
21,B,101
22,D,601
23,B,83
24,C,110
25,B,113
26,C,86
27,B,119
28,C,116
29,B,95
30,C,104
31,D,601
32,C,104
33,C,110
34,B,107
35,C,170
36,C,98
37,C,104
38,C,86
39,C,110
40,D,601
41,B,107
42,D,601
43,B,83
44,B,95
45,B,77
46,C,92
47,B,95
48,B,107
49,C,92
50,B,89
51,C,110
52,C,104
53,C,140
54,B,149
55,C,80
56,C,146
57,D,601
58,D,601
59,C,86
60,B,119
61,C,98
62,D,601
63,D,601
64,C,98
65,B,89
66,C,152
67,B,95
68,B,131
69,B,95
70,D,601
71,D,601
72,C,110
73,C,80
74,B,119
75,C,86
76,C,98
77,B,95
78,C,98
79,D,601
