,Winner,NTurns
0,B,113
1,C,86
2,C,98
3,B,113
4,C,146
5,B,119
6,B,113
7,B,137
8,C,146
9,B,257
10,B,89
11,B,101
12,B,77
13,D,601
14,D,601
15,B,155
16,B,149
17,D,601
18,B,137
19,C,158
20,C,128
21,B,101
22,B,119
23,D,601
24,B,83
25,D,601
26,C,116
27,B,113
28,D,601
29,C,146
30,C,110
31,C,152
32,D,601
33,C,128
34,C,362
35,D,601
36,C,110
37,C,86
38,B,95
39,C,116
40,B,101
41,B,185
42,D,601
43,B,125
44,C,110
45,D,601
46,C,152
47,C,89
48,B,89
49,D,601
50,D,601
51,D,601
52,C,146
53,D,601
54,B,131
55,D,601
56,C,110
57,B,173
58,C,134
59,C,146
60,C,134
61,D,601
62,C,104
63,D,601
64,B,119
65,C,128
66,D,601
67,B,137
68,D,601
69,D,601
70,B,119
71,D,601
72,C,122
73,D,601
74,D,601
75,C,122
76,C,122
77,D,601
78,B,131
79,D,601
