,Winner,NTurns
0,B,68
1,B,119
2,B,62
3,B,101
4,B,119
5,B,92
6,B,107
7,C,116
8,B,101
9,C,98
10,C,92
11,B,107
12,C,47
13,B,119
14,B,107
15,C,92
16,B,113
17,B,131
18,B,101
19,B,62
20,B,101
21,C,98
22,C,116
23,C,77
24,B,107
25,C,83
26,B,107
27,B,107
28,C,110
29,B,113
30,C,92
31,C,104
32,C,92
33,B,113
34,C,104
35,B,113
36,B,101
37,B,68
38,B,107
39,B,119
40,C,104
41,B,131
42,B,107
43,C,110
44,C,110
45,B,86
46,B,113
47,C,110
48,B,101
49,B,113
50,B,113
51,C,71
52,C,98
53,B,119
54,C,128
55,B,107
56,B,107
57,B,101
58,B,125
59,B,131
60,C,86
61,B,119
62,B,143
63,B,113
64,B,95
65,B,131
66,B,125
67,C,140
68,B,107
69,B,92
70,B,119
71,B,101
72,C,59
73,C,104
74,B,125
75,B,95
76,B,113
77,B,98
78,D,601
79,B,113
