,Winner,NTurns
0,B,95
1,C,80
2,B,131
3,B,155
4,C,80
5,B,107
6,B,137
7,C,110
8,C,98
9,B,119
10,B,113
11,B,113
12,B,101
13,C,116
14,B,113
15,B,101
16,B,203
17,D,601
18,C,104
19,B,95
20,C,86
21,D,601
22,C,104
23,C,134
24,C,98
25,C,53
26,B,113
27,C,128
28,B,113
29,B,107
30,D,601
31,C,92
32,C,140
33,D,601
34,C,86
35,C,110
36,B,107
37,C,110
38,B,101
39,C,59
40,C,152
41,C,98
42,D,601
43,C,116
44,C,104
45,C,92
46,C,104
47,C,110
48,D,601
49,C,104
50,B,119
51,D,601
52,C,98
53,C,140
54,D,601
55,B,107
56,D,601
57,C,110
58,B,107
59,C,92
60,D,601
61,C,65
62,B,68
63,D,601
64,B,101
65,C,128
66,B,101
67,B,83
68,D,601
69,C,140
70,C,104
71,D,601
72,B,131
73,B,95
74,B,89
75,D,601
76,B,131
77,B,113
78,C,146
79,B,95
