,Winner,NTurns
0,C,110
1,C,140
2,C,122
3,C,110
4,C,53
5,B,113
6,D,601
7,B,107
8,D,601
9,C,98
10,D,601
11,C,104
12,C,116
13,B,173
14,D,601
15,C,98
16,B,113
17,B,149
18,B,101
19,D,601
20,D,601
21,D,601
22,D,601
23,C,104
24,D,601
25,B,167
26,C,86
27,B,119
28,C,65
29,C,128
30,D,601
31,D,601
32,B,131
33,B,137
34,C,110
35,C,122
36,D,601
37,B,107
38,C,134
39,C,104
40,B,131
41,C,158
42,C,98
43,D,601
44,D,601
45,C,110
46,B,131
47,B,119
48,B,125
49,D,601
50,D,601
51,D,601
52,C,104
53,C,140
54,C,128
55,D,601
56,C,122
57,C,92
58,B,113
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,C,104
65,B,113
66,D,601
67,B,149
68,B,143
69,B,95
70,B,113
71,D,601
72,D,601
73,C,98
74,D,601
75,D,601
76,D,601
77,B,125
78,C,98
79,C,146
