,Winner,NTurns
0,B,95
1,B,89
2,B,95
3,B,113
4,B,89
5,B,95
6,C,98
7,C,110
8,C,146
9,D,601
10,C,110
11,C,92
12,C,104
13,D,601
14,B,113
15,C,65
16,B,83
17,B,107
18,C,98
19,D,601
20,C,71
21,B,101
22,C,53
23,B,119
24,B,125
25,C,98
26,D,601
27,B,68
28,B,95
29,D,601
30,C,116
31,D,601
32,D,601
33,B,107
34,B,119
35,B,89
36,B,89
37,B,95
38,B,113
39,C,98
40,C,92
41,B,119
42,D,601
43,B,101
44,B,89
45,C,95
46,B,107
47,C,92
48,D,601
49,C,122
50,D,601
51,B,95
52,C,86
53,B,113
54,C,80
55,B,119
56,D,601
57,B,89
58,D,601
59,B,83
60,D,601
61,D,601
62,C,104
63,B,89
64,C,122
65,B,113
66,D,601
67,C,116
68,B,101
69,B,101
70,B,167
71,B,143
72,D,601
73,D,601
74,C,104
75,B,113
76,D,601
77,D,601
78,D,601
79,B,83
