,Winner,NTurns
0,C,116
1,C,116
2,C,134
3,C,74
4,B,104
5,C,86
6,C,47
7,C,110
8,C,92
9,B,98
10,B,62
11,B,98
12,C,116
13,C,116
14,C,74
15,C,92
16,C,47
17,C,98
18,B,98
19,B,98
20,C,83
21,B,98
22,C,59
23,C,86
24,C,134
25,B,104
26,B,98
27,C,122
28,C,116
29,C,110
30,C,104
31,C,86
32,C,116
33,B,104
34,C,86
35,C,77
36,B,128
37,C,116
38,C,92
39,C,98
40,C,98
41,C,110
42,C,104
43,C,92
44,C,80
45,C,80
46,C,86
47,C,98
48,B,110
49,B,44
50,C,134
51,B,104
52,C,86
53,C,98
54,C,86
55,C,104
56,B,104
57,C,104
58,C,86
59,C,104
60,C,116
61,C,86
62,C,80
63,C,92
64,C,86
65,C,122
66,C,74
67,C,110
68,C,80
69,C,89
70,C,104
71,C,104
72,C,65
73,C,98
74,B,104
75,B,110
76,C,110
77,C,98
78,B,122
79,C,92
