,Winner,NTurns
0,D,601
1,C,86
2,B,116
3,C,116
4,B,104
5,C,110
6,C,71
7,C,59
8,C,89
9,C,134
10,C,98
11,C,116
12,C,104
13,C,104
14,B,128
15,B,110
16,C,104
17,B,92
18,B,110
19,C,122
20,C,86
21,C,122
22,C,116
23,C,134
24,C,59
25,B,86
26,C,116
27,C,92
28,B,110
29,C,122
30,C,71
31,B,116
32,C,122
33,D,601
34,B,134
35,C,98
36,C,116
37,C,134
38,B,122
39,B,110
40,C,80
41,C,164
42,D,601
43,C,110
44,C,122
45,C,122
46,B,110
47,B,62
48,C,86
49,C,116
50,B,128
51,D,601
52,B,116
53,C,104
54,C,92
55,D,601
56,D,601
57,B,110
58,B,104
59,C,110
60,C,128
61,C,92
62,C,128
63,D,601
64,B,128
65,C,134
66,D,601
67,C,98
68,D,601
69,C,128
70,D,601
71,B,146
72,C,176
73,D,601
74,C,98
75,C,104
76,B,92
77,C,65
78,D,601
79,C,98
