,Winner,NTurns
0,C,98
1,B,92
2,C,98
3,C,116
4,C,122
5,C,98
6,C,92
7,C,92
8,B,98
9,C,92
10,B,122
11,B,110
12,C,104
13,C,92
14,C,176
15,C,104
16,C,122
17,C,92
18,B,92
19,B,122
20,C,98
21,C,104
22,B,134
23,C,164
24,C,98
25,D,601
26,C,98
27,B,140
28,C,74
29,B,104
30,C,116
31,C,110
32,D,601
33,C,128
34,C,116
35,C,92
36,C,134
37,C,80
38,C,128
39,C,134
40,B,122
41,C,98
42,D,601
43,C,110
44,C,110
45,C,98
46,D,601
47,C,104
48,C,80
49,C,122
50,C,134
51,B,122
52,C,98
53,B,134
54,B,128
55,C,98
56,C,128
57,D,601
58,C,104
59,B,134
60,D,601
61,D,601
62,C,98
63,C,47
64,C,98
65,C,134
66,C,98
67,D,601
68,C,92
69,C,77
70,D,601
71,B,140
72,C,92
73,C,98
74,D,601
75,C,86
76,C,104
77,D,601
78,C,110
79,B,116
