,Winner,NTurns
0,C,161
1,B,110
2,B,98
3,C,107
4,C,137
5,D,601
6,B,80
7,B,86
8,B,176
9,B,98
10,C,131
11,D,601
12,C,95
13,C,125
14,C,125
15,B,80
16,B,98
17,D,601
18,C,107
19,B,104
20,B,140
21,B,116
22,C,53
23,B,104
24,B,92
25,B,104
26,D,601
27,C,131
28,D,601
29,B,104
30,C,119
31,D,601
32,B,92
33,C,131
34,C,113
35,D,601
36,C,131
37,C,257
38,B,158
39,B,110
40,B,104
41,B,146
42,B,110
43,D,601
44,D,601
45,D,601
46,C,125
47,C,113
48,B,116
49,B,98
50,B,86
51,C,95
52,B,86
53,C,101
54,B,104
55,C,95
56,B,104
57,D,601
58,D,601
59,D,601
60,C,143
61,D,601
62,B,86
63,B,104
64,C,137
65,C,95
66,D,601
67,D,601
68,B,104
69,D,601
70,B,98
71,D,601
72,C,125
73,B,140
74,C,119
75,D,601
76,B,128
77,D,601
78,B,92
79,D,601
