,Winner,NTurns
0,C,116
1,C,128
2,C,128
3,B,104
4,B,110
5,B,122
6,C,122
7,D,601
8,B,122
9,C,104
10,B,74
11,C,116
12,B,134
13,C,116
14,C,104
15,C,98
16,C,128
17,C,128
18,C,98
19,D,601
20,C,98
21,B,140
22,B,122
23,C,146
24,B,170
25,C,116
26,C,116
27,D,601
28,C,140
29,D,601
30,C,152
31,C,128
32,C,92
33,C,128
34,D,601
35,C,134
36,C,128
37,C,86
38,D,601
39,C,98
40,C,146
41,C,170
42,D,601
43,C,140
44,B,56
45,D,601
46,C,164
47,C,92
48,C,92
49,C,152
50,C,104
51,B,146
52,D,601
53,D,601
54,B,146
55,D,601
56,B,98
57,C,128
58,B,134
59,C,146
60,C,116
61,C,158
62,D,601
63,D,601
64,C,110
65,D,601
66,C,110
67,C,92
68,B,80
69,D,601
70,C,152
71,D,601
72,B,134
73,C,98
74,B,146
75,C,122
76,C,104
77,B,110
78,C,182
79,D,601
