,Winner,NTurns
0,B,104
1,C,134
2,D,601
3,C,92
4,C,98
5,C,140
6,D,601
7,C,92
8,C,116
9,C,41
10,B,110
11,B,122
12,C,98
13,C,92
14,C,92
15,B,110
16,D,601
17,D,601
18,C,146
19,D,601
20,D,601
21,C,86
22,B,128
23,D,601
24,B,128
25,C,122
26,D,601
27,B,134
28,C,140
29,C,86
30,B,116
31,C,146
32,C,134
33,B,122
34,D,601
35,D,601
36,B,98
37,C,122
38,C,98
39,D,601
40,C,77
41,C,122
42,C,128
43,D,601
44,B,98
45,B,116
46,D,601
47,C,122
48,D,601
49,C,98
50,C,104
51,B,164
52,B,110
53,D,601
54,B,110
55,C,86
56,D,601
57,C,80
58,C,122
59,D,601
60,D,601
61,D,601
62,B,110
63,C,92
64,C,116
65,D,601
66,C,116
67,D,601
68,C,98
69,D,601
70,B,134
71,B,128
72,C,71
73,C,134
74,D,601
75,C,122
76,D,601
77,C,116
78,C,92
79,D,601
