,Winner,NTurns
0,C,92
1,B,113
2,C,110
3,B,125
4,B,113
5,B,125
6,C,122
7,C,104
8,C,104
9,B,107
10,B,101
11,B,125
12,C,98
13,B,113
14,C,116
15,B,107
16,C,116
17,C,128
18,B,119
19,C,128
20,B,101
21,B,119
22,C,128
23,C,152
24,C,110
25,B,101
26,B,101
27,D,601
28,C,89
29,B,113
30,C,152
31,C,92
32,B,113
33,B,125
34,C,140
35,C,116
36,D,601
37,B,125
38,C,98
39,C,128
40,C,134
41,B,107
42,B,101
43,B,125
44,C,134
45,C,122
46,B,119
47,D,601
48,C,104
49,C,134
50,C,137
51,C,116
52,C,140
53,C,122
54,B,119
55,B,149
56,B,113
57,B,119
58,C,128
59,B,119
60,D,601
61,C,92
62,C,110
63,B,101
64,B,107
65,B,125
66,B,107
67,B,113
68,B,137
69,B,143
70,B,107
71,C,104
72,D,601
73,C,146
74,B,149
75,C,122
76,B,101
77,C,98
78,C,146
79,C,128
