,Winner,NTurns
0,B,173
1,C,134
2,C,140
3,B,125
4,C,110
5,D,601
6,B,161
7,D,601
8,C,152
9,D,601
10,B,113
11,D,601
12,D,601
13,C,110
14,D,601
15,D,601
16,B,179
17,C,110
18,B,107
19,B,125
20,D,601
21,B,149
22,C,122
23,D,601
24,D,601
25,B,101
26,C,110
27,B,143
28,B,101
29,D,601
30,B,119
31,B,119
32,C,119
33,D,601
34,D,601
35,B,125
36,D,601
37,C,152
38,D,601
39,C,116
40,B,161
41,D,601
42,C,107
43,D,601
44,D,601
45,D,601
46,D,601
47,B,113
48,C,152
49,C,128
50,D,601
51,D,601
52,D,601
53,D,601
54,C,152
55,B,119
56,D,601
57,C,134
58,D,601
59,D,601
60,D,601
61,D,601
62,C,77
63,C,80
64,D,601
65,D,601
66,C,104
67,D,601
68,B,113
69,D,601
70,D,601
71,D,601
72,B,155
73,D,601
74,D,601
75,D,601
76,D,601
77,C,122
78,D,601
79,C,95
