,Winner,NTurns
0,B,149
1,C,92
2,B,149
3,C,92
4,D,601
5,D,601
6,B,137
7,C,110
8,C,104
9,B,131
10,C,146
11,D,601
12,B,113
13,D,601
14,C,116
15,C,140
16,C,104
17,C,146
18,D,601
19,D,601
20,C,146
21,C,98
22,D,601
23,B,155
24,B,131
25,D,601
26,D,601
27,D,601
28,D,601
29,B,185
30,D,601
31,D,601
32,D,601
33,B,83
34,B,143
35,D,601
36,C,332
37,B,107
38,D,601
39,C,170
40,C,92
41,D,601
42,B,179
43,C,134
44,C,83
45,D,601
46,D,601
47,D,601
48,C,92
49,D,601
50,D,601
51,D,601
52,B,95
53,D,601
54,D,601
55,B,107
56,D,601
57,B,113
58,D,601
59,C,176
60,B,95
61,D,601
62,C,104
63,D,601
64,D,601
65,D,601
66,D,601
67,B,119
68,D,601
69,C,152
70,D,601
71,C,176
72,D,601
73,D,601
74,D,601
75,C,110
76,D,601
77,D,601
78,D,601
79,D,601
