,Winner,NTurns
0,B,191
1,B,101
2,B,173
3,D,601
4,C,53
5,B,131
6,B,113
7,D,601
8,B,137
9,C,215
10,D,601
11,B,137
12,C,107
13,B,143
14,D,601
15,D,601
16,D,601
17,C,149
18,D,601
19,B,101
20,B,101
21,B,107
22,D,601
23,B,95
24,D,601
25,D,601
26,D,601
27,B,125
28,D,601
29,D,601
30,D,601
31,D,601
32,B,95
33,B,107
34,D,601
35,D,601
36,B,143
37,D,601
38,D,601
39,B,125
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,C,149
46,B,101
47,D,601
48,D,601
49,B,89
50,D,601
51,B,125
52,B,89
53,D,601
54,D,601
55,B,113
56,D,601
57,C,89
58,B,155
59,D,601
60,D,601
61,B,131
62,C,149
63,B,131
64,D,601
65,D,601
66,B,155
67,D,601
68,D,601
69,D,601
70,D,601
71,B,197
72,D,601
73,D,601
74,D,601
75,B,95
76,D,601
77,B,161
78,D,601
79,B,137
