,Winner,NTurns
0,B,161
1,C,134
2,C,134
3,D,601
4,B,125
5,B,119
6,D,601
7,C,134
8,D,601
9,C,140
10,D,601
11,B,125
12,D,601
13,C,164
14,C,128
15,D,601
16,C,110
17,D,601
18,B,155
19,C,158
20,D,601
21,C,170
22,B,113
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,C,182
29,D,601
30,D,601
31,D,601
32,D,601
33,C,146
34,C,182
35,D,601
36,B,131
37,D,601
38,D,601
39,D,601
40,D,601
41,B,125
42,D,601
43,D,601
44,C,158
45,D,601
46,D,601
47,D,601
48,D,601
49,C,170
50,B,131
51,D,601
52,C,140
53,D,601
54,C,152
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,B,179
75,D,601
76,C,140
77,C,176
78,D,601
79,D,601
