,Winner,NTurns
0,D,601
1,C,170
2,C,122
3,D,601
4,B,209
5,D,601
6,D,601
7,C,110
8,B,95
9,B,119
10,D,601
11,D,601
12,B,131
13,B,101
14,B,101
15,B,131
16,D,601
17,D,601
18,B,107
19,B,131
20,C,98
21,D,601
22,D,601
23,C,92
24,D,601
25,D,601
26,C,134
27,B,119
28,D,601
29,B,107
30,D,601
31,B,101
32,B,119
33,D,601
34,D,601
35,D,601
36,B,101
37,C,152
38,D,601
39,D,601
40,D,601
41,B,89
42,D,601
43,D,601
44,D,601
45,D,601
46,B,155
47,B,95
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,C,98
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,C,47
62,B,125
63,D,601
64,D,601
65,D,601
66,D,601
67,C,158
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,C,176
74,D,601
75,D,601
76,D,601
77,D,601
78,C,122
79,D,601
