,Winner,NTurns
0,C,92
1,B,107
2,B,92
3,B,95
4,B,101
5,B,107
6,B,113
7,C,116
8,B,101
9,B,113
10,B,131
11,C,86
12,B,56
13,B,119
14,B,107
15,B,74
16,C,110
17,B,113
18,B,119
19,C,110
20,C,86
21,C,104
22,B,107
23,C,110
24,C,110
25,C,134
26,B,113
27,C,86
28,B,119
29,B,107
30,B,101
31,B,107
32,C,92
33,C,110
34,C,98
35,B,119
36,B,107
37,C,77
38,C,116
39,C,104
40,B,95
41,B,119
42,C,98
43,B,107
44,C,77
45,B,107
46,B,107
47,C,59
48,B,101
49,B,107
50,C,80
51,C,92
52,B,125
53,B,107
54,B,113
55,C,98
56,B,95
57,C,98
58,B,107
59,C,104
60,B,113
61,C,122
62,B,113
63,C,116
64,C,98
65,B,119
66,B,125
67,B,137
68,B,107
69,B,107
70,D,601
71,B,119
72,B,113
73,B,101
74,B,101
75,B,113
76,B,113
77,B,107
78,B,95
79,C,98
