,Winner,NTurns
0,B,95
1,B,95
2,B,137
3,C,98
4,C,98
5,B,95
6,C,77
7,B,107
8,B,101
9,C,128
10,B,113
11,C,104
12,B,95
13,C,92
14,C,98
15,C,86
16,D,601
17,B,101
18,C,80
19,B,101
20,C,86
21,B,95
22,B,113
23,C,116
24,C,104
25,B,101
26,C,116
27,B,71
28,B,107
29,C,104
30,C,128
31,B,113
32,B,197
33,C,146
34,B,113
35,C,122
36,C,98
37,C,104
38,B,95
39,B,119
40,C,110
41,C,86
42,C,104
43,C,80
44,C,134
45,D,601
46,C,83
47,B,161
48,B,101
49,C,92
50,B,101
51,D,601
52,C,140
53,C,92
54,D,601
55,B,89
56,C,134
57,C,92
58,C,92
59,C,122
60,B,119
61,D,601
62,C,110
63,C,86
64,C,152
65,C,128
66,C,104
67,B,95
68,B,107
69,C,134
70,B,113
71,C,98
72,D,601
73,C,134
74,C,74
75,C,116
76,B,101
77,C,104
78,D,601
79,B,119
