,Winner,NTurns
0,C,116
1,C,122
2,C,92
3,B,137
4,C,116
5,C,104
6,C,98
7,C,98
8,B,113
9,C,146
10,B,101
11,C,86
12,D,601
13,C,140
14,C,140
15,B,137
16,B,119
17,C,122
18,D,601
19,C,122
20,B,119
21,C,95
22,B,125
23,D,601
24,B,119
25,D,601
26,B,119
27,B,113
28,C,128
29,C,170
30,C,122
31,B,95
32,D,601
33,C,134
34,D,601
35,B,191
36,B,161
37,B,95
38,C,230
39,B,161
40,B,191
41,C,146
42,D,601
43,B,113
44,D,601
45,C,86
46,C,134
47,D,601
48,D,601
49,C,98
50,D,601
51,C,134
52,C,122
53,D,601
54,D,601
55,D,601
56,D,601
57,C,98
58,D,601
59,C,134
60,D,601
61,D,601
62,C,110
63,C,104
64,B,143
65,D,601
66,C,182
67,D,601
68,C,140
69,D,601
70,B,131
71,D,601
72,D,601
73,D,601
74,C,98
75,D,601
76,B,137
77,D,601
78,D,601
79,D,601
