,Winner,NTurns
0,C,152
1,C,86
2,B,101
3,C,98
4,B,77
5,B,95
6,C,74
7,B,101
8,B,113
9,C,80
10,C,98
11,B,95
12,B,101
13,B,77
14,C,134
15,B,107
16,C,59
17,C,122
18,C,110
19,C,98
20,B,83
21,C,92
22,C,98
23,B,77
24,B,95
25,B,119
26,B,95
27,C,116
28,B,107
29,B,83
30,C,80
31,D,601
32,C,65
33,B,83
34,C,92
35,C,80
36,C,110
37,B,101
38,B,119
39,B,95
40,C,92
41,C,104
42,B,89
43,B,89
44,B,95
45,C,59
46,D,601
47,C,158
48,B,101
49,B,101
50,B,95
51,C,110
52,B,107
53,B,89
54,B,95
55,C,98
56,D,601
57,D,601
58,C,128
59,B,125
60,C,110
61,B,95
62,C,98
63,B,95
64,D,601
65,D,601
66,B,89
67,B,107
68,C,86
69,C,104
70,B,89
71,D,601
72,D,601
73,B,107
74,C,53
75,C,104
76,C,128
77,D,601
78,B,89
79,D,601
