,Winner,NTurns
0,B,111
1,B,81
2,B,87
3,C,78
4,B,81
5,B,105
6,B,81
7,C,78
8,B,93
9,B,111
10,B,81
11,B,105
12,C,84
13,B,75
14,B,105
15,B,69
16,B,75
17,B,111
18,B,87
19,B,99
20,C,84
21,C,78
22,C,132
23,B,87
24,B,75
25,C,156
26,C,84
27,B,87
28,C,102
29,B,105
30,C,90
31,B,105
32,C,84
33,B,87
34,C,144
35,B,111
36,B,93
37,B,81
38,B,87
39,C,102
40,B,87
41,B,81
42,C,72
43,B,87
44,C,102
45,B,129
46,C,96
47,B,87
48,C,102
49,B,93
50,B,123
51,B,81
52,C,108
53,C,96
54,B,105
55,C,90
56,C,96
57,C,90
58,B,93
59,B,81
60,C,108
61,B,141
62,C,90
63,C,114
64,B,99
65,B,111
66,B,93
67,B,111
68,B,105
69,B,87
70,B,117
71,B,105
72,B,111
73,C,96
74,B,81
75,B,111
76,C,72
77,B,93
78,B,93
79,B,87
