,Winner,NTurns
0,C,60
1,C,54
2,C,78
3,C,60
4,C,60
5,C,72
6,C,54
7,C,54
8,C,60
9,C,60
10,C,54
11,C,60
12,C,48
13,C,66
14,C,72
15,C,66
16,C,72
17,C,60
18,C,84
19,C,60
20,C,66
21,C,72
22,C,60
23,C,78
24,C,54
25,C,90
26,C,54
27,C,72
28,C,54
29,C,60
30,C,66
31,C,72
32,C,66
33,C,78
34,C,54
35,C,84
36,C,66
37,C,66
38,C,66
39,C,60
40,C,72
41,C,60
42,C,60
43,C,66
44,C,90
45,C,42
46,C,66
47,C,78
48,C,60
49,C,60
50,B,81
51,C,54
52,C,60
53,C,72
54,C,54
55,C,66
56,C,66
57,C,66
58,C,60
59,C,66
60,C,84
61,C,54
62,C,66
63,C,60
64,C,60
65,C,84
66,C,66
67,C,60
68,B,81
69,C,54
70,C,60
71,C,60
72,C,78
73,C,72
74,C,84
75,C,60
76,C,60
77,C,60
78,C,66
79,C,78
