,Winner,NTurns
0,C,60
1,C,54
2,C,54
3,C,60
4,C,72
5,C,54
6,C,60
7,C,54
8,C,60
9,C,48
10,C,60
11,C,54
12,C,60
13,C,60
14,C,66
15,C,48
16,C,60
17,C,48
18,C,60
19,C,60
20,C,60
21,C,60
22,C,60
23,C,60
24,C,60
25,C,54
26,C,60
27,C,54
28,C,54
29,C,54
30,C,60
31,C,60
32,C,54
33,C,54
34,C,60
35,C,54
36,C,54
37,C,60
38,C,54
39,C,60
40,C,60
41,C,60
42,C,48
43,C,54
44,C,54
45,C,54
46,C,54
47,C,54
48,C,54
49,C,60
50,C,54
51,C,48
52,C,54
53,C,60
54,C,54
55,C,54
56,C,54
57,C,60
58,C,60
59,C,54
60,C,60
61,C,60
62,C,60
63,C,54
64,C,54
65,C,48
66,C,60
67,C,60
68,C,60
69,C,60
70,C,60
71,C,60
72,C,54
73,C,60
74,C,60
75,C,66
76,C,60
77,C,54
78,C,60
79,C,60
