,Winner,NTurns
0,B,81
1,B,87
2,B,75
3,B,93
4,C,72
5,B,63
6,C,72
7,B,81
8,B,57
9,B,57
10,B,69
11,B,81
12,B,75
13,C,84
14,B,75
15,B,63
16,B,75
17,B,57
18,B,69
19,B,63
20,B,75
21,B,57
22,B,81
23,B,75
24,C,72
25,B,57
26,C,78
27,B,57
28,B,57
29,B,81
30,B,63
31,C,72
32,B,63
33,B,75
34,B,81
35,C,114
36,B,69
37,B,75
38,B,69
39,B,75
40,B,63
41,B,63
42,B,63
43,B,63
44,B,75
45,B,69
46,B,57
47,B,81
48,B,75
49,B,57
50,B,69
51,B,87
52,C,72
53,B,63
54,B,63
55,C,66
56,C,120
57,B,63
58,B,69
59,C,84
60,B,69
61,B,69
62,C,108
63,C,84
64,B,75
65,B,57
66,B,63
67,C,78
68,B,69
69,C,72
70,C,78
71,C,84
72,B,69
73,B,69
74,C,84
75,B,75
76,B,63
77,B,93
78,C,78
79,B,81
