,Winner,NTurns
0,C,66
1,C,60
2,C,60
3,B,57
4,C,60
5,C,66
6,B,63
7,B,51
8,C,66
9,C,48
10,C,48
11,B,75
12,C,60
13,B,63
14,B,57
15,B,63
16,C,66
17,C,54
18,C,60
19,C,60
20,C,54
21,B,63
22,C,42
23,B,75
24,C,60
25,B,57
26,C,54
27,C,54
28,C,48
29,B,57
30,B,63
31,B,57
32,C,60
33,B,69
34,C,60
35,C,66
36,C,78
37,C,60
38,C,54
39,C,60
40,C,66
41,C,60
42,B,63
43,C,66
44,C,78
45,C,54
46,C,48
47,C,60
48,B,57
49,C,48
50,C,66
51,C,54
52,C,48
53,B,69
54,C,54
55,C,66
56,C,66
57,B,57
58,B,69
59,C,66
60,C,72
61,C,72
62,B,63
63,C,60
64,C,66
65,B,63
66,C,60
67,C,54
68,C,48
69,C,66
70,C,54
71,C,72
72,C,60
73,B,63
74,B,69
75,C,60
76,B,69
77,C,60
78,C,72
79,C,78
