,Winner,NTurns
0,B,57
1,C,66
2,C,54
3,B,63
4,C,54
5,C,54
6,C,48
7,C,54
8,C,54
9,C,60
10,C,60
11,C,60
12,C,60
13,C,60
14,C,48
15,C,60
16,C,54
17,B,69
18,B,57
19,C,60
20,B,69
21,C,66
22,B,69
23,B,57
24,C,54
25,B,63
26,C,60
27,C,48
28,C,54
29,B,69
30,C,72
31,C,66
32,C,66
33,C,54
34,B,57
35,B,63
36,C,54
37,B,57
38,B,63
39,B,69
40,C,60
41,B,57
42,C,60
43,B,63
44,C,48
45,C,54
46,C,54
47,B,63
48,C,60
49,B,63
50,C,60
51,B,57
52,C,48
53,B,63
54,C,60
55,C,60
56,C,78
57,B,63
58,C,54
59,C,60
60,C,66
61,C,66
62,B,63
63,C,54
64,B,57
65,B,75
66,B,63
67,C,54
68,B,63
69,C,60
70,B,63
71,C,60
72,C,60
73,B,57
74,C,72
75,C,60
76,B,63
77,C,66
78,B,63
79,C,60
