,Winner,NTurns
0,C,54
1,C,54
2,B,57
3,C,60
4,B,57
5,C,60
6,C,60
7,C,60
8,C,60
9,C,48
10,C,54
11,C,54
12,C,54
13,B,57
14,B,63
15,B,57
16,C,54
17,B,57
18,C,60
19,C,60
20,C,54
21,C,54
22,C,54
23,B,57
24,C,60
25,C,60
26,C,60
27,C,54
28,C,60
29,C,48
30,C,60
31,C,60
32,C,60
33,B,57
34,C,60
35,C,48
36,C,54
37,C,54
38,C,54
39,B,57
40,C,54
41,C,54
42,C,54
43,C,54
44,C,54
45,B,57
46,C,54
47,C,60
48,B,57
49,C,54
50,C,54
51,B,57
52,C,54
53,C,54
54,C,60
55,C,60
56,C,60
57,C,60
58,C,48
59,C,54
60,C,60
61,C,60
62,C,60
63,C,60
64,C,54
65,C,60
66,C,60
67,C,54
68,C,60
69,C,54
70,C,54
71,C,60
72,C,60
73,C,54
74,C,60
75,C,60
76,C,60
77,C,54
78,B,57
79,C,60
