,Winner,NTurns
0,C,60
1,C,54
2,B,57
3,B,69
4,C,60
5,C,60
6,B,63
7,C,60
8,B,57
9,C,54
10,B,57
11,C,48
12,C,60
13,B,63
14,C,66
15,C,60
16,C,48
17,C,54
18,B,69
19,C,54
20,B,69
21,C,42
22,B,69
23,B,63
24,C,54
25,B,63
26,C,60
27,C,60
28,C,60
29,B,63
30,C,66
31,C,54
32,B,57
33,B,57
34,B,69
35,B,69
36,C,48
37,C,48
38,C,66
39,C,66
40,C,60
41,C,60
42,B,57
43,B,51
44,B,57
45,B,57
46,C,60
47,B,63
48,C,60
49,C,60
50,C,54
51,B,63
52,B,63
53,C,42
54,B,57
55,C,54
56,B,69
57,C,66
58,B,63
59,C,54
60,C,72
61,B,63
62,C,72
63,B,63
64,B,63
65,C,42
66,B,63
67,C,54
68,C,60
69,C,48
70,C,60
71,C,60
72,C,48
73,C,66
74,B,57
75,C,66
76,C,60
77,C,72
78,B,63
79,B,63
