,Winner,NTurns
0,B,81
1,B,75
2,B,75
3,B,69
4,B,63
5,B,57
6,B,63
7,B,63
8,B,69
9,B,81
10,B,69
11,C,72
12,B,69
13,B,69
14,B,87
15,B,63
16,B,69
17,C,90
18,B,63
19,B,75
20,B,93
21,B,75
22,B,63
23,B,63
24,B,69
25,B,75
26,B,63
27,B,63
28,B,63
29,C,84
30,B,63
31,B,63
32,B,87
33,B,63
34,B,63
35,B,69
36,B,63
37,B,69
38,B,57
39,B,63
40,B,69
41,B,75
42,B,63
43,B,75
44,B,69
45,B,75
46,C,78
47,B,63
48,B,87
49,B,63
50,C,72
51,B,75
52,B,69
53,B,69
54,C,78
55,B,69
56,B,69
57,B,69
58,B,63
59,B,69
60,B,75
61,B,57
62,C,102
63,B,75
64,C,90
65,B,57
66,B,63
67,B,63
68,B,69
69,B,75
70,B,63
71,B,69
72,B,87
73,B,69
74,B,93
75,C,78
76,B,75
77,B,63
78,B,69
79,B,81
