,Winner,NTurns
0,C,54
1,C,48
2,C,66
3,B,63
4,B,57
5,B,57
6,B,69
7,B,63
8,C,60
9,C,54
10,C,72
11,C,48
12,C,66
13,C,66
14,B,57
15,B,57
16,C,54
17,C,48
18,C,60
19,C,60
20,C,66
21,C,66
22,B,63
23,C,66
24,C,66
25,B,63
26,C,60
27,C,48
28,C,72
29,C,54
30,C,54
31,C,72
32,B,57
33,B,69
34,C,66
35,C,60
36,C,60
37,B,69
38,C,66
39,C,54
40,C,60
41,C,60
42,C,48
43,B,57
44,B,57
45,C,54
46,B,69
47,C,66
48,C,60
49,C,60
50,C,54
51,B,69
52,C,78
53,C,72
54,C,54
55,C,60
56,C,60
57,B,69
58,C,60
59,B,63
60,C,66
61,C,72
62,B,57
63,C,48
64,B,63
65,B,75
66,C,60
67,B,63
68,C,48
69,B,63
70,C,66
71,C,78
72,C,48
73,B,57
74,C,60
75,C,60
76,C,66
77,C,60
78,C,54
79,C,60
