,Winner,NTurns
0,B,63
1,C,54
2,B,63
3,C,54
4,B,57
5,B,63
6,C,60
7,B,69
8,C,42
9,C,78
10,B,57
11,C,54
12,B,63
13,B,75
14,C,42
15,B,63
16,C,54
17,C,66
18,C,60
19,B,63
20,B,57
21,C,60
22,C,60
23,C,54
24,C,54
25,C,60
26,B,63
27,C,66
28,C,60
29,C,60
30,B,63
31,C,66
32,C,48
33,B,69
34,B,57
35,B,75
36,C,66
37,C,60
38,C,60
39,B,63
40,C,54
41,C,66
42,C,60
43,B,57
44,B,69
45,C,66
46,C,54
47,C,60
48,C,60
49,C,66
50,C,54
51,C,60
52,C,72
53,C,60
54,B,57
55,C,66
56,C,60
57,C,66
58,C,54
59,C,54
60,C,66
61,B,63
62,B,75
63,B,69
64,B,63
65,B,63
66,C,60
67,B,63
68,C,60
69,C,60
70,C,48
71,C,60
72,B,63
73,B,69
74,B,57
75,B,69
76,C,54
77,C,66
78,C,54
79,B,69
