,Winner,NTurns
0,C,60
1,C,54
2,C,48
3,C,60
4,C,54
5,C,48
6,C,48
7,C,60
8,C,54
9,C,54
10,C,60
11,C,54
12,C,60
13,C,54
14,C,54
15,C,60
16,C,54
17,C,60
18,C,54
19,C,60
20,C,54
21,C,54
22,C,54
23,C,54
24,C,60
25,B,57
26,C,60
27,C,54
28,C,54
29,C,54
30,C,54
31,C,54
32,C,54
33,C,48
34,C,60
35,C,54
36,C,54
37,C,60
38,C,54
39,C,60
40,B,57
41,C,60
42,C,60
43,C,60
44,C,54
45,C,60
46,C,54
47,C,60
48,C,60
49,C,60
50,C,54
51,C,48
52,C,60
53,C,54
54,C,60
55,C,54
56,C,54
57,C,54
58,C,60
59,C,48
60,C,60
61,C,54
62,C,54
63,C,54
64,C,60
65,C,60
66,C,54
67,C,60
68,C,60
69,C,54
70,C,60
71,C,54
72,C,60
73,C,60
74,C,60
75,C,60
76,C,60
77,C,54
78,C,60
79,C,54
