,Winner,NTurns
0,B,57
1,C,54
2,B,57
3,B,63
4,C,60
5,B,63
6,C,48
7,C,60
8,C,72
9,C,66
10,B,57
11,C,72
12,C,54
13,C,60
14,C,60
15,B,69
16,B,63
17,B,57
18,C,60
19,C,66
20,C,60
21,C,60
22,B,75
23,C,54
24,C,60
25,B,63
26,C,60
27,C,60
28,C,54
29,C,66
30,B,63
31,B,57
32,B,69
33,C,48
34,C,60
35,B,57
36,C,42
37,C,60
38,C,66
39,C,72
40,C,66
41,B,75
42,C,48
43,B,75
44,C,48
45,C,54
46,B,69
47,C,54
48,B,63
49,C,60
50,B,75
51,B,63
52,C,54
53,B,57
54,C,54
55,B,69
56,B,63
57,C,78
58,B,81
59,C,54
60,B,57
61,B,69
62,B,69
63,B,63
64,C,48
65,C,54
66,C,48
67,C,72
68,B,63
69,B,63
70,C,54
71,C,66
72,C,66
73,C,48
74,B,69
75,C,60
76,B,63
77,C,60
78,B,69
79,C,60
