,Winner,NTurns
0,B,57
1,B,51
2,B,63
3,B,63
4,B,57
5,C,54
6,B,57
7,B,57
8,B,63
9,C,60
10,B,69
11,C,42
12,B,57
13,C,60
14,B,63
15,C,54
16,B,57
17,B,63
18,C,48
19,C,48
20,B,63
21,C,60
22,C,60
23,C,60
24,C,60
25,C,54
26,B,63
27,B,57
28,C,54
29,C,48
30,C,48
31,B,63
32,B,63
33,C,48
34,B,57
35,C,54
36,C,60
37,B,57
38,B,57
39,B,69
40,C,54
41,C,60
42,B,57
43,C,60
44,C,66
45,B,63
46,C,60
47,B,57
48,C,60
49,B,57
50,B,57
51,B,63
52,B,63
53,C,48
54,B,57
55,B,63
56,B,57
57,C,66
58,C,66
59,C,60
60,C,54
61,C,60
62,B,51
63,B,57
64,C,60
65,B,57
66,C,60
67,C,72
68,B,57
69,B,69
70,B,45
71,C,60
72,C,60
73,C,66
74,B,57
75,B,57
76,B,63
77,C,66
78,C,66
79,C,54
