,Winner,NTurns
0,C,54
1,C,60
2,C,60
3,C,48
4,B,63
5,B,57
6,C,60
7,B,57
8,C,54
9,C,66
10,C,60
11,C,66
12,B,63
13,C,54
14,C,48
15,B,57
16,B,63
17,B,57
18,B,57
19,B,63
20,C,54
21,B,57
22,C,60
23,B,63
24,B,63
25,B,63
26,C,66
27,B,57
28,C,60
29,C,48
30,B,57
31,B,57
32,C,48
33,B,63
34,B,57
35,B,63
36,C,60
37,C,66
38,C,54
39,C,54
40,C,66
41,C,60
42,B,63
43,B,51
44,B,51
45,C,48
46,C,66
47,C,60
48,C,60
49,C,60
50,C,66
51,C,54
52,C,54
53,C,72
54,B,57
55,C,60
56,B,57
57,C,54
58,B,57
59,B,57
60,B,57
61,C,66
62,C,60
63,C,66
64,C,54
65,C,60
66,B,57
67,C,54
68,B,57
69,C,54
70,B,63
71,C,60
72,C,54
73,C,60
74,B,69
75,C,78
76,C,60
77,B,63
78,B,57
79,B,63
