,Winner,NTurns
0,C,48
1,C,54
2,C,48
3,C,54
4,C,60
5,C,54
6,C,60
7,C,60
8,C,54
9,C,60
10,B,51
11,C,54
12,C,54
13,C,60
14,B,57
15,C,60
16,C,48
17,B,51
18,B,57
19,C,60
20,B,57
21,C,60
22,C,60
23,C,54
24,C,60
25,B,57
26,B,57
27,C,54
28,B,57
29,C,60
30,C,54
31,C,60
32,C,60
33,C,60
34,C,54
35,C,60
36,C,60
37,B,57
38,B,57
39,B,57
40,B,57
41,B,57
42,C,60
43,C,54
44,C,54
45,C,66
46,C,54
47,C,54
48,C,54
49,C,60
50,C,54
51,B,57
52,C,60
53,C,48
54,B,51
55,C,60
56,C,60
57,C,60
58,C,60
59,B,57
60,C,60
61,C,60
62,B,57
63,C,48
64,C,60
65,C,60
66,B,57
67,C,48
68,C,66
69,B,57
70,C,60
71,C,54
72,C,54
73,B,57
74,B,57
75,B,57
76,B,51
77,C,48
78,C,60
79,B,57
