,Winner,NTurns
0,B,69
1,B,57
2,B,63
3,B,57
4,B,57
5,B,75
6,B,57
7,B,57
8,C,72
9,B,57
10,B,63
11,B,57
12,B,57
13,C,72
14,B,57
15,B,57
16,C,72
17,C,66
18,B,57
19,B,57
20,C,78
21,B,69
22,B,63
23,B,57
24,B,57
25,B,57
26,B,57
27,B,57
28,B,57
29,B,63
30,B,69
31,B,63
32,B,63
33,B,63
34,B,63
35,B,75
36,B,63
37,B,57
38,B,57
39,B,63
40,B,69
41,B,57
42,B,69
43,B,69
44,B,69
45,B,45
46,B,63
47,B,69
48,B,69
49,B,57
50,B,63
51,B,57
52,B,57
53,B,57
54,B,69
55,B,57
56,B,57
57,B,63
58,B,63
59,B,63
60,B,69
61,B,69
62,B,57
63,B,69
64,B,57
65,B,57
66,B,57
67,B,57
68,B,57
69,B,57
70,B,57
71,B,57
72,B,57
73,B,63
74,B,63
75,B,63
76,B,57
77,B,63
78,C,90
79,B,63
