,Winner,NTurns
0,C,60
1,B,57
2,B,57
3,B,57
4,B,57
5,B,57
6,B,57
7,B,57
8,B,57
9,B,57
10,C,60
11,B,57
12,C,54
13,B,57
14,B,57
15,C,60
16,B,63
17,B,57
18,B,63
19,B,57
20,B,69
21,B,57
22,B,57
23,B,57
24,B,57
25,B,57
26,B,57
27,B,57
28,C,66
29,C,60
30,B,57
31,B,57
32,C,54
33,B,63
34,C,54
35,B,57
36,B,57
37,C,54
38,C,54
39,C,54
40,B,51
41,C,48
42,B,57
43,C,60
44,C,60
45,C,48
46,B,57
47,C,54
48,C,48
49,B,57
50,B,63
51,B,57
52,B,63
53,B,63
54,B,57
55,B,63
56,C,48
57,B,57
58,B,57
59,B,57
60,B,63
61,B,57
62,B,57
63,C,60
64,B,63
65,B,63
66,B,57
67,C,60
68,B,57
69,C,54
70,C,60
71,C,48
72,B,57
73,B,57
74,B,57
75,C,54
76,B,63
77,B,57
78,B,57
79,B,57
