,Winner,NTurns
0,B,45
1,C,60
2,C,54
3,C,54
4,B,57
5,B,57
6,C,60
7,C,54
8,B,57
9,B,57
10,B,57
11,B,51
12,C,60
13,C,54
14,C,48
15,C,54
16,C,54
17,C,54
18,C,60
19,B,57
20,B,51
21,C,54
22,B,57
23,C,54
24,B,57
25,B,57
26,C,48
27,B,57
28,B,57
29,C,48
30,C,54
31,B,57
32,B,57
33,B,51
34,C,48
35,C,60
36,C,60
37,B,57
38,C,54
39,C,54
40,C,54
41,C,54
42,C,54
43,C,48
44,B,57
45,C,54
46,C,60
47,C,48
48,B,57
49,C,54
50,C,60
51,C,54
52,C,54
53,C,60
54,C,54
55,B,57
56,C,54
57,C,60
58,C,60
59,C,54
60,C,48
61,C,48
62,C,54
63,C,54
64,B,57
65,C,54
66,C,54
67,B,57
68,C,54
69,C,54
70,C,54
71,C,54
72,B,57
73,C,54
74,C,60
75,C,60
76,B,57
77,B,57
78,C,54
79,C,54
