,Winner,NTurns
0,C,54
1,C,54
2,C,54
3,C,54
4,C,54
5,C,54
6,C,54
7,C,54
8,C,48
9,C,54
10,C,54
11,C,48
12,C,48
13,C,54
14,C,54
15,C,48
16,C,54
17,C,54
18,C,54
19,C,48
20,C,54
21,C,54
22,C,54
23,C,54
24,C,54
25,C,54
26,C,54
27,C,54
28,C,54
29,C,54
30,C,54
31,C,54
32,C,54
33,B,57
34,B,57
35,C,54
36,B,57
37,C,54
38,C,54
39,C,54
40,C,54
41,C,60
42,C,54
43,C,54
44,C,54
45,C,54
46,C,54
47,C,48
48,C,54
49,C,48
50,C,54
51,C,54
52,C,54
53,B,57
54,C,54
55,C,60
56,C,48
57,C,54
58,B,57
59,C,54
60,C,54
61,C,54
62,C,54
63,C,54
64,C,54
65,C,54
66,C,54
67,C,54
68,C,48
69,C,54
70,C,54
71,C,54
72,C,54
73,B,57
74,C,54
75,C,54
76,C,54
77,C,54
78,C,54
79,C,54
