,Winner,NTurns
0,B,57
1,C,54
2,B,57
3,C,54
4,C,54
5,C,54
6,C,54
7,C,48
8,C,54
9,B,57
10,C,48
11,B,63
12,B,57
13,C,48
14,B,57
15,C,60
16,B,57
17,C,60
18,B,57
19,C,48
20,B,57
21,C,66
22,C,54
23,B,57
24,C,66
25,B,57
26,B,57
27,C,48
28,B,57
29,C,60
30,B,57
31,C,60
32,C,54
33,B,57
34,B,69
35,C,54
36,C,54
37,B,57
38,B,57
39,B,63
40,B,63
41,B,57
42,C,48
43,B,57
44,C,54
45,C,54
46,B,57
47,C,66
48,B,57
49,B,63
50,C,60
51,B,63
52,B,57
53,C,54
54,B,57
55,B,57
56,B,57
57,B,63
58,C,60
59,B,57
60,B,57
61,B,63
62,C,60
63,C,60
64,B,57
65,B,57
66,C,66
67,B,63
68,B,57
69,B,57
70,C,60
71,C,54
72,C,60
73,C,60
74,C,60
75,B,63
76,B,63
77,B,57
78,C,54
79,C,54
