,Winner,NTurns
0,C,78
1,B,69
2,B,63
3,B,87
4,B,75
5,B,51
6,B,69
7,B,75
8,B,75
9,C,72
10,B,81
11,B,57
12,B,81
13,C,66
14,B,69
15,B,87
16,B,57
17,B,69
18,B,69
19,C,90
20,B,69
21,B,63
22,B,81
23,C,84
24,B,57
25,B,69
26,B,63
27,B,75
28,B,69
29,B,75
30,B,57
31,B,63
32,B,69
33,B,69
34,B,69
35,B,87
36,B,75
37,B,69
38,B,75
39,B,69
40,B,63
41,C,78
42,B,81
43,B,69
44,B,105
45,B,69
46,B,63
47,B,87
48,B,81
49,B,63
50,C,78
51,B,69
52,B,75
53,B,81
54,B,75
55,B,69
56,B,69
57,B,63
58,B,75
59,B,87
60,B,75
61,C,84
62,B,63
63,B,81
64,C,78
65,B,75
66,B,57
67,B,69
68,C,72
69,B,63
70,B,75
71,B,75
72,B,69
73,B,63
74,C,84
75,B,63
76,C,114
77,C,72
78,B,63
79,B,69
